Wavelength (nm),Sum,Ca I (1.7e-02),Ca II (8.9e-01),Ca III (9.1e-02)
353.71,9.175e-4,,,9.175e-4
353.76,9.511e-4,,,9.511e-4
353.81,9.473e-4,,,9.473e-4
353.86,9.065e-4,,,9.065e-4
353.91,8.336e-4,,,8.336e-4
353.96,7.365e-4,,,7.365e-4
354.01,6.252e-4,,,6.252e-4
354.06,5.100e-4,,,5.100e-4
354.11,3.997e-4,,,3.997e-4
354.16,3.010e-4,,,3.010e-4
354.21,2.178e-4,,,2.178e-4
354.26,1.514e-4,,,1.514e-4
354.31,1.011e-4,,,1.011e-4
354.36,6.491e-5,,,6.491e-5
354.41,4.003e-5,,,4.003e-5
354.46,2.372e-5,,,2.372e-5
354.51,1.350e-5,,,1.350e-5
354.56,7.387e-6,,,7.387e-6
354.61,3.883e-6,,,3.883e-6
354.66,1.961e-6,,,1.961e-6
354.71,9.516e-7,,,9.516e-7
354.76,4.437e-7,,,4.437e-7
354.81,1.988e-7,,,1.988e-7
354.86,8.555e-8,,,8.555e-8
354.91,3.538e-8,,,3.538e-8
354.96,1.406e-8,,,1.406e-8
355.01,5.369e-9,,,5.369e-9
355.07,1.604e-9,,,1.604e-9
355.12,5.610e-10,,,5.610e-10
355.17,1.885e-10,,,1.885e-10
355.22,6.086e-11,,,6.086e-11
355.27,1.888e-11,,,1.888e-11
355.32,5.627e-12,,,5.627e-12
355.37,1.611e-12,,,1.611e-12
355.42,4.434e-13,,,4.434e-13
355.47,1.172e-13,,,1.172e-13
