obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
"=""221.507514""","=""0.000011""","=""221.507514""","=""0.000010""","=""40000""","=""2.4e+08""",C+,"=""38858.9696""","=""83990.106""","=""3d6.(5D).4p""","=""z 6D*""","=""5/2""","=""3d6.(5D).4d""","=""6D""","=""3/2""",,"=""T6892c83""","=""L18349c139""",
"=""221.570029""","=""0.000014""","=""221.570010""","=""0.000010""","=""27000""","=""3.0e+08""",C+,"=""39013.2160""","=""84131.624""","=""3d6.(5D).4p""","=""z 6D*""","=""3/2""","=""3d6.(5D).4d""","=""6D""","=""1/2""",,"=""T6892c83""","=""L18349c139""",
"=""221.6000""","=""0.0005""","=""221.600835""","=""0.000011""","=""700d?""","=""""",,"=""15844.6485""","=""60956.781""","=""3d7""","=""a 2G""","=""9/2""","=""3d6.(3H).4p""","=""z 4G*""","=""7/2""",,"=""""","=""L18349c142""",
"=""221.6093""","=""0.0005""","=""221.609714""","=""0.000020""","=""500d?""","=""""",,"=""26932.7348""","=""72043.060""","=""3d6.(3P2).4s""","=""b 2P""","=""1/2""","=""3d6.(3D).4p""","=""w 4P*""","=""3/2""",,"=""""","=""L18349c142""",
"=""221.6382""","=""0.0005""","=""221.638367""","=""0.000011""","=""1200""","=""""",,"=""18360.6399""","=""63465.134""","=""3d7""","=""a 2P""","=""3/2""","=""3d6.(3F2).4p""","=""x 4D*""","=""3/2""",,"=""""","=""L18349c142""",
"=""221.6562""","=""0.0005""","=""221.656500""","=""0.000010""","=""600""","=""""",,"=""20830.5534""","=""65931.358""","=""3d6.(3P2).4s""","=""b 4P""","=""5/2""","=""3d6.(3G).4p""","=""x 4G*""","=""7/2""",,"=""""","=""L18349c142""",
"=""221.70608""","=""0.00004""","=""221.706074""","=""0.000010""","=""6000""","=""4.1e+06""",D+,"=""21581.6151""","=""66672.336""","=""3d6.(3H).4s""","=""a 4H""","=""9/2""","=""3d6.(3G).4p""","=""y 4H*""","=""7/2""",,"=""T6892c83""","=""L18349c139""",
"=""221.73238""","=""0.00010""","=""221.732375""","=""0.000011""","=""400""","=""5.0e+06""",D+,"=""62322.445""","=""107407.818""","=""3d6.(3H).4p""","=""z 2G*""","=""7/2""","=""3d6.(3F2).4d""","=""2D""","=""5/2""",,"=""T6892c83""","=""L18349c139""",
"=""221.80512""","=""0.00004""","=""221.805012""","=""0.000011""","=""1200""","=""8.e+06""",D+,"=""61726.069""","=""106796.679""","=""3d6.(3P2).4p""","=""y 4D*""","=""7/2""","=""3d6.(5D).5d""","=""4P""","=""5/2""",,"=""T6892c83""","=""L18349c139""",
"=""221.825921""","=""0.000011""","=""221.825920""","=""0.000009""","=""80000""","=""1.57e+08""",C+,"=""38660.0537""","=""83726.416""","=""3d6.(5D).4p""","=""z 6D*""","=""7/2""","=""3d6.(5D).4d""","=""6D""","=""9/2""",,"=""T7186""","=""L18349c139""",
"=""221.84813""","=""0.00014""","=""221.847883""","=""0.000011""","=""320""","=""9.e+05""",D,"=""60956.781""","=""106018.682""","=""3d6.(3H).4p""","=""z 4G*""","=""7/2""","=""3d6.(3H).4d""","=""2H""","=""9/2""",,"=""T6892c83""","=""L18349c139""",
"=""221.88906""","=""0.00007""","=""221.889111""","=""0.000010""","=""4000""","=""1.7e+06""",D,"=""38660.0537""","=""83713.583""","=""3d6.(5D).4p""","=""z 6D*""","=""7/2""","=""3d6.(5D).4d""","=""6D""","=""7/2""",,"=""T6892c83""","=""L18349c139""",
"=""221.91561""","=""0.00005""","=""221.915590""","=""0.000015""","=""1000""","=""1.1e+06""",D,"=""62171.624""","=""107219.778""","=""3d5.(6S).4s.4p.(3P*)""","=""y 6P*""","=""7/2""","=""3d5.(6S).4p2""","=""8P""","=""9/2""",,"=""T6892c83""","=""L18349c139""",
"=""221.9308""","=""0.0005""","=""221.93002""","=""0.00003""","=""250d?""","=""""",,"=""58631.623""","=""103676.848""","=""3d6.(1G1).4s""","=""d 2G""","=""9/2""","=""3d6.(5D<2>).4f""","=""2[3]*""","=""7/2""",,"=""""","=""L18349c142""",
"=""221.9413""","=""0.0005""","=""221.941194""","=""0.000012""","=""900""","=""""",,"=""15844.6485""","=""60887.606""","=""3d7""","=""a 2G""","=""9/2""","=""3d6.(3H).4p""","=""z 4H*""","=""11/2""",,"=""""","=""L18349c142""",
"=""221.95005""","=""0.00003""","=""221.950067""","=""0.000010""","=""1400""","=""5.8e+06""",D+,"=""61726.069""","=""106767.226""","=""3d6.(3P2).4p""","=""y 4D*""","=""7/2""","=""3d6.(3F2).4d""","=""4F""","=""7/2""",,"=""T6892c83""","=""L18349c139""",
"=""221.96986""","=""0.00007""","=""221.969926""","=""0.000010""","=""4000""","=""3.3e+06""",D+,"=""27314.9183""","=""72352.046""","=""3d6.(3F2).4s""","=""a 2F""","=""7/2""","=""3d6.(3D).4p""","=""w 4F*""","=""7/2""",,"=""T6892c83""","=""L18349c139""",
"=""221.989364""","=""0.000014""","=""221.989359""","=""0.000011""","=""23000""","=""2.4e+07""",D+,"=""21430.3564""","=""66463.542""","=""3d6.(3H).4s""","=""a 4H""","=""11/2""","=""3d6.(3G).4p""","=""y 4H*""","=""11/2""",,"=""T6892c83""","=""L18349c139""",
"=""221.9980""","=""0.0005""","=""221.997616""","=""0.000012""","=""1700?""","=""""",,"=""27620.4033""","=""72651.914""","=""3d6.(3F2).4s""","=""a 2F""","=""5/2""","=""3d6.(3D).4p""","=""w 4D*""","=""7/2""",,"=""""","=""L18349c143""",
"=""222.037807""","=""0.000011""","=""222.037805""","=""0.000011""","=""40000""","=""4.2e+07""",D+,"=""20340.2461""","=""65363.607""","=""3d7""","=""a 2H""","=""11/2""","=""3d6.(3H).4p""","=""z 2H*""","=""11/2""",,"=""T6892c83""","=""L18349c139""",
"=""222.04300""","=""0.00002""","=""222.042998""","=""0.000011""","=""14000""","=""1.6e+08""",D+,"=""39109.3161""","=""84131.624""","=""3d6.(5D).4p""","=""z 6D*""","=""1/2""","=""3d6.(5D).4d""","=""6D""","=""1/2""",,"=""T6892c83""","=""L18349c139""",
"=""222.0520""","=""0.0005""","=""222.05108""","=""0.00003""","=""1000""","=""4.1e+06""",D,"=""47674.728""","=""92695.398""","=""3d7""","=""d 2D1""","=""3/2""","=""3d6.(3P1).4p""","=""u 2D*""","=""5/2""",,"=""T6892c83""","=""L18349c142""",
"=""222.0985""","=""0.0005""","=""222.099505""","=""0.000015""","=""800d?""","=""""",,"=""7955.3186""","=""52966.173""","=""3d6.(5D).4s""","=""a 4D""","=""7/2""","=""3d5.(6S).4s.4p.(3P*)""","=""z 8P*""","=""9/2""",,"=""""","=""L18349c142""",
"=""222.116439""","=""0.000015""","=""222.116421""","=""0.000010""","=""21000""","=""2.5e+07""",D+,"=""21581.6151""","=""66589.042""","=""3d6.(3H).4s""","=""a 4H""","=""9/2""","=""3d6.(3G).4p""","=""y 4H*""","=""9/2""",,"=""T6892c83""","=""L18349c139""",
"=""222.17226""","=""0.00002""","=""222.172251""","=""0.000011""","=""2100""","=""1.3e+07""",D+,"=""61726.069""","=""106722.187""","=""3d6.(3P2).4p""","=""y 4D*""","=""7/2""","=""3d6.(3H).4d""","=""4F""","=""9/2""",,"=""T6892c83""","=""L18349c139""",
"=""222.24519""","=""0.00005""","=""222.245173""","=""0.000010""","=""5000""","=""2.6e+06""",D+,"=""21430.3564""","=""66411.712""","=""3d6.(3H).4s""","=""a 4H""","=""11/2""","=""3d6.(3G).4p""","=""y 4H*""","=""13/2""",,"=""T6892c83""","=""L18349c139""",
"=""222.26727""","=""0.00003""","=""222.267241""","=""0.000010""","=""9000""","=""6.0e+07""",D+,"=""39013.2160""","=""83990.106""","=""3d6.(5D).4p""","=""z 6D*""","=""3/2""","=""3d6.(5D).4d""","=""6D""","=""3/2""",,"=""T6892c83""","=""L18349c139""",
"=""222.2876""","=""0.0005""","=""222.287145""","=""0.000015""","=""400d?""","=""5.e+06""",D,"=""47674.728""","=""92647.591""","=""3d7""","=""d 2D1""","=""3/2""","=""3d6.(3F1).4p""","=""4D*""","=""3/2""",,"=""T6892c83""","=""L18349c142""",
"=""222.3156""","=""0.0005""","=""222.316185""","=""0.000011""","=""240d""","=""""",,"=""59663.440""","=""104630.429""","=""3d6.(3P2).4p""","=""z 4S*""","=""3/2""","=""3d6.(5D).5d""","=""6F""","=""3/2""",,"=""""","=""L18349c142""",
"=""222.3374""","=""0.0005""","=""222.337936""","=""0.000011""","=""700d""","=""""",,"=""15844.6485""","=""60807.239""","=""3d7""","=""a 2G""","=""9/2""","=""3d6.(3H).4p""","=""z 4G*""","=""9/2""",,"=""""","=""L18349c142""",
"=""222.348571""","=""0.000014""","=""222.348573""","=""0.000010""","=""21000""","=""3.0e+07""",D+,"=""21711.8963""","=""66672.336""","=""3d6.(3H).4s""","=""a 4H""","=""7/2""","=""3d6.(3G).4p""","=""y 4H*""","=""7/2""",,"=""T6892c83""","=""L18349c139""",
"=""222.37022""","=""0.00005""","=""222.370162""","=""0.000011""","=""800bl(Fe II)*""","=""1.2e+07""",D+,"=""65109.691""","=""110065.766""","=""3d6.(3F2).4p""","=""y 2G*""","=""7/2""","=""3d6.(3G).4d""","=""2D""","=""5/2""",,"=""T6892c83""","=""L18349c148""",
"=""222.37022""","=""0.00005""","=""222.370301""","=""0.000009""","=""800bl(Fe II)*""","=""4.6e+06""",D+,"=""60807.239""","=""105763.286""","=""3d6.(3H).4p""","=""z 4G*""","=""9/2""","=""3d6.(3F2).4d""","=""2H""","=""11/2""",,"=""T6892c83""","=""L18349c148""",
"=""222.38349""","=""0.00006""","=""222.383483""","=""0.000009""","=""5000""","=""2.7e+07""",D+,"=""38858.9696""","=""83812.352""","=""3d6.(5D).4p""","=""z 6D*""","=""5/2""","=""3d6.(5D).4d""","=""6D""","=""5/2""",,"=""T6892c83""","=""L18349c139""",
"=""222.44644""","=""0.00003""","=""222.446232""","=""0.000010""","=""9000bl(Fe II)*""","=""5.6e+06""",D+,"=""61156.827""","=""106097.530""","=""3d6.(3H).4p""","=""z 4H*""","=""7/2""","=""3d6.(3F2).4d""","=""2H""","=""9/2""",,"=""T6892c83""","=""L18349c148""",
"=""222.44644""","=""0.00003""","=""222.446504""","=""0.000015""","=""9000bl(Fe II)*""","=""2.5e+07""",D+,"=""21307.999""","=""66248.647""","=""3d7""","=""a 2D2""","=""3/2""","=""3d6.(3P2).4p""","=""z 2S*""","=""1/2""",,"=""T6892c83""","=""L18349c148""",
"=""222.4598""","=""0.0004""","=""222.45957""","=""0.00003""","=""400""","=""1.7e+07""",D+,"=""54870.541""","=""99808.549""","=""3d6.(3F1).4s""","=""d 2F""","=""5/2""","=""3d6.(1G1).4p""","=""2G*""","=""7/2""",,"=""T6892c83""","=""L18349c139""",
"=""222.4660""","=""0.0005""","=""222.466886""","=""0.000020""","=""400d?""","=""9.e+05""",D,"=""50142.811""","=""95079.342""","=""3d6.(3F1).4s""","=""c 4F""","=""5/2""","=""3d6.(3F1).4p""","=""2F*""","=""7/2""",,"=""T6892c83""","=""L18349c142""",
"=""222.49138""","=""0.00010""","=""222.491412""","=""0.000010""","=""400""","=""5.e+06""",D,"=""62244.515""","=""107176.093""","=""3d6.(3F2).4p""","=""y 4F*""","=""3/2""","=""3d6.(5D).5d""","=""4P""","=""1/2""",,"=""T6892c83""","=""L18349c139""",
"=""222.5307""","=""0.0005""","=""222.530702""","=""0.000012""","=""800""","=""""",,"=""27314.9183""","=""72238.564""","=""3d6.(3F2).4s""","=""a 2F""","=""7/2""","=""3d6.(3D).4p""","=""w 4F*""","=""5/2""",,"=""""","=""L18349c142""",
"=""222.6272""","=""0.0005""","=""222.62654""","=""0.00003""","=""400""","=""2.7e+06""",D,"=""54904.241""","=""99808.549""","=""3d6.(3F1).4s""","=""d 2F""","=""7/2""","=""3d6.(1G1).4p""","=""2G*""","=""7/2""",,"=""T6892c83""","=""L18349c142""",
"=""222.6962""","=""0.0005""","=""222.696071""","=""0.000011""","=""600""","=""""",,"=""20805.7632""","=""65696.053""","=""3d7""","=""a 2H""","=""9/2""","=""3d6.(3G).4p""","=""x 4G*""","=""9/2""",,"=""""","=""L18349c142""",
"=""222.71819""","=""0.00005""","=""222.718176""","=""0.000010""","=""6000""","=""1.0e+07""",D+,"=""25428.7893""","=""70314.624""","=""3d6.(3G).4s""","=""a 4G""","=""11/2""","=""3d6.(3G).4p""","=""x 2G*""","=""9/2""",,"=""T6892c83""","=""L18349c139""",
"=""222.73754""","=""0.00006""","=""222.737570""","=""0.000011""","=""5000""","=""2.5e+06""",D+,"=""21581.6151""","=""66463.542""","=""3d6.(3H).4s""","=""a 4H""","=""9/2""","=""3d6.(3G).4p""","=""y 4H*""","=""11/2""",,"=""T6892c83""","=""L18349c139""",
"=""222.743223""","=""0.000017""","=""222.743213""","=""0.000011""","=""20000""","=""8.e+07""",D+,"=""39109.3161""","=""83990.106""","=""3d6.(5D).4p""","=""z 6D*""","=""1/2""","=""3d6.(5D).4d""","=""6D""","=""3/2""",,"=""T6892c83""","=""L18349c139""",
"=""222.76128""","=""0.00008""","=""222.761303""","=""0.000010""","=""3400""","=""2.3e+06""",D,"=""21711.8963""","=""66589.042""","=""3d6.(3H).4s""","=""a 4H""","=""7/2""","=""3d6.(3G).4p""","=""y 4H*""","=""9/2""",,"=""T6892c83""","=""L18349c139""",
"=""222.8459""","=""0.0005""","=""222.845473""","=""0.000015""","=""600""","=""4.2e+07""",D+,"=""48039.109""","=""92899.306""","=""3d7""","=""d 2D1""","=""5/2""","=""3d6.(3F1).4p""","=""4D*""","=""5/2""",,"=""T6892c83""","=""L18349c142""",
"=""222.85174""","=""0.00014""","=""222.851852""","=""0.000010""","=""300bl(Fe I)""","=""1.8e+06""",D,"=""62065.528""","=""106924.441""","=""3d6.(3F2).4p""","=""y 4F*""","=""7/2""","=""3d6.(3F2).4d""","=""2G""","=""9/2""",,"=""T6892c83""","=""L18349c146""",
"=""222.873223""","=""0.000011""","=""222.873216""","=""0.000010""","=""60000""","=""1.59e+08""",C+,"=""38858.9696""","=""83713.583""","=""3d6.(5D).4p""","=""z 6D*""","=""5/2""","=""3d6.(5D).4d""","=""6D""","=""7/2""",,"=""T7186""","=""L18349c139""",
"=""222.92801""","=""0.00010""","=""222.927868""","=""0.000010""","=""270""","=""""",,"=""59663.440""","=""104507.058""","=""3d6.(3P2).4p""","=""z 4S*""","=""3/2""","=""3d6.(3H).4d""","=""4F""","=""5/2""",,"=""""","=""L18349c139""",
"=""222.97147""","=""0.00007""","=""222.971494""","=""0.000010""","=""800""","=""2.3e+07""",D+,"=""62065.528""","=""106900.373""","=""3d6.(3F2).4p""","=""y 4F*""","=""7/2""","=""3d6.(3F2).4d""","=""2G""","=""7/2""",,"=""T6892c83""","=""L18349c139""",
"=""222.98096""","=""0.00016""","=""222.980885""","=""0.000012""","=""210""","=""3.2e+06""",D,"=""63272.981""","=""108105.938""","=""3d6.(3F2).4p""","=""x 4D*""","=""5/2""","=""3d6.(3F2).4d""","=""2P""","=""3/2""",,"=""T6892c83""","=""L18349c139""",
"=""222.98527""","=""0.00012""","=""222.985222""","=""0.000011""","=""210""","=""""",,"=""69102.427""","=""113934.512""","=""3d5.(6S).4s.4p.(3P*)""","=""x 4P*""","=""5/2""","=""3d6.(5D).6d""","=""6D""","=""5/2""",,"=""""","=""L18349c139""",
"=""223.03819""","=""0.00006""","=""223.038206""","=""0.000010""","=""900""","=""9.e+06""",D+,"=""62244.515""","=""107065.951""","=""3d6.(3F2).4p""","=""y 4F*""","=""3/2""","=""3d6.(5D).5d""","=""4P""","=""3/2""",,"=""T6892c83""","=""L18349c139""",
"=""223.0637""","=""0.0005""","=""223.062843""","=""0.000015""","=""500d""","=""""",,"=""26170.1810""","=""70986.667""","=""3d6.(3H).4s""","=""b 2H""","=""11/2""","=""3d6.(1I).4p""","=""z 2K*""","=""13/2""",,"=""""","=""L18349c142""",
"=""223.0680""","=""0.0005""","=""223.067966""","=""0.000012""","=""1000""","=""""",,"=""27314.9183""","=""72130.375""","=""3d6.(3F2).4s""","=""a 2F""","=""7/2""","=""3d6.(1G2).4p""","=""x 2H*""","=""9/2""",,"=""""","=""L18349c142""",
"=""223.0928""","=""0.0005""","=""223.093073""","=""0.000010""","=""1100""","=""""",,"=""21711.8963""","=""66522.310""","=""3d6.(3H).4s""","=""a 4H""","=""7/2""","=""3d6.(3G).4p""","=""x 4F*""","=""5/2""",,"=""""","=""L18349c142""",
"=""223.14201""","=""0.00003""","=""223.141879""","=""0.000011""","=""8000""","=""""",,"=""21812.0454""","=""66612.659""","=""3d6.(3P2).4s""","=""b 4P""","=""3/2""","=""3d6.(3G).4p""","=""x 4F*""","=""3/2""",,"=""""","=""L18349c145""",
"=""223.149255""","=""0.000013""","=""223.149240""","=""0.000009""","=""34000""","=""1.10e+08""",C+,"=""39013.2160""","=""83812.352""","=""3d6.(5D).4p""","=""z 6D*""","=""3/2""","=""3d6.(5D).4d""","=""6D""","=""5/2""",,"=""T6892c83""","=""L18349c139""",
"=""223.1663""","=""0.0005""","=""223.166358""","=""0.000010""","=""1500""","=""""",,"=""21581.6151""","=""66377.315""","=""3d6.(3H).4s""","=""a 4H""","=""9/2""","=""3d6.(3G).4p""","=""x 4F*""","=""7/2""",,"=""""","=""L18349c142""",
"=""223.17848""","=""0.00004""","=""223.178491""","=""0.000010""","=""900""","=""4.1e+07""",D+,"=""64831.951""","=""109625.216""","=""3d6.(3F2).4p""","=""y 2G*""","=""9/2""","=""3d6.(3G).4d""","=""2G""","=""9/2""",,"=""T6892c83""","=""L18349c139""",
"=""223.18567""","=""0.00005""","=""223.185631""","=""0.000012""","=""700""","=""3.6e+07""",D+,"=""65109.691""","=""109901.523""","=""3d6.(3F2).4p""","=""y 2G*""","=""7/2""","=""3d6.(3G).4d""","=""2G""","=""7/2""",,"=""T6892c83""","=""L18349c139""",
"=""223.2409""","=""0.0005""","=""223.240632""","=""0.000011""","=""900""","=""""",,"=""15844.6485""","=""60625.446""","=""3d7""","=""a 2G""","=""9/2""","=""3d6.(3H).4p""","=""z 4G*""","=""11/2""",,"=""""","=""L18349c142""",
"=""223.2729""","=""0.0005""","=""223.273022""","=""0.000011""","=""600""","=""""",,"=""20805.7632""","=""65580.065""","=""3d7""","=""a 2H""","=""9/2""","=""3d6.(3G).4p""","=""x 4G*""","=""11/2""",,"=""""","=""L18349c142""",
"=""223.2931""","=""0.0005""","=""223.293116""","=""0.000015""","=""1500""","=""""",,"=""21307.999""","=""66078.272""","=""3d7""","=""a 2D2""","=""3/2""","=""3d6.(3G).4p""","=""x 4G*""","=""5/2""",,"=""""","=""L18349c142""",
"=""223.31287""","=""0.00004""","=""223.312861""","=""0.000010""","=""1200""","=""4.1e+07""",D+,"=""62158.126""","=""106924.441""","=""3d6.(3F2).4p""","=""y 4F*""","=""9/2""","=""3d6.(3F2).4d""","=""2G""","=""9/2""",,"=""T6892c83""","=""L18349c139""",
"=""223.3201""","=""0.0003""","=""223.320025""","=""0.000015""","=""400""","=""2.4e+06""",D,"=""54870.541""","=""99635.420""","=""3d6.(3F1).4s""","=""d 2F""","=""5/2""","=""3d5.(4G).4s.4p.(3P*)""","=""2G*""","=""7/2""",,"=""T6892c83""","=""L18349c139""",
"=""223.3753""","=""0.0005""","=""223.375225""","=""0.000009""","=""2400""","=""""",,"=""0.0000""","=""44753.8179""","=""3d6.(5D).4s""","=""a 6D""","=""9/2""","=""3d6.(5D).4p""","=""z 4F*""","=""7/2""",,"=""""","=""L18349c142""",
"=""223.391742""","=""0.000011""","=""223.391749""","=""0.000011""","=""34000""","=""4.0e+07""",D+,"=""20805.7632""","=""65556.271""","=""3d7""","=""a 2H""","=""9/2""","=""3d6.(3H).4p""","=""z 2H*""","=""9/2""",,"=""T6892c83""","=""L18349c139""",
"=""223.4060""","=""0.0002""","=""223.406082""","=""0.000011""","=""310""","=""""",,"=""62049.042""","=""106796.679""","=""3d5.(6S).4s.4p.(3P*)""","=""y 6P*""","=""5/2""","=""3d6.(5D).5d""","=""4P""","=""5/2""",,"=""""","=""L18349c139""",
"=""223.4080""","=""0.0005""","=""223.408961""","=""0.000010""","=""400""","=""""",,"=""43238.6066""","=""87985.667""","=""3d6.(5D).4p""","=""z 6P*""","=""5/2""","=""3d6.(5D).4d""","=""4P""","=""5/2""",,"=""""","=""L18349c142""",
"=""223.43293""","=""0.00005""","=""223.432998""","=""0.000010""","=""800""","=""1.8e+07""",D+,"=""62158.126""","=""106900.373""","=""3d6.(3F2).4p""","=""y 4F*""","=""9/2""","=""3d6.(3F2).4d""","=""2G""","=""7/2""",,"=""T6892c83""","=""L18349c139""",
"=""223.4371""","=""0.0005""","=""223.436798""","=""0.000020""","=""600""","=""""",,"=""31387.9788""","=""76129.465""","=""3d6.(3D).4s""","=""b 4D""","=""5/2""","=""3d6.(1S2).4p""","=""x 2P*""","=""3/2""",,"=""""","=""L18349c142""",
"=""223.43848""","=""0.00008""","=""223.438397""","=""0.000010""","=""700""","=""5.9e+06""",D+,"=""62125.604""","=""106866.770""","=""3d6.(3P2).4p""","=""z 2D*""","=""3/2""","=""3d6.(3F2).4d""","=""4F""","=""5/2""",,"=""T6892c83""","=""L18349c139""",
"=""223.48615""","=""0.00009""","=""223.485971""","=""0.000011""","=""3400""","=""""",,"=""27620.4033""","=""72352.046""","=""3d6.(3F2).4s""","=""a 2F""","=""5/2""","=""3d6.(3D).4p""","=""w 4F*""","=""7/2""",,"=""""","=""L18349c139""",
"=""223.488419""","=""0.000013""","=""223.488288""","=""0.000015""","=""5000bl(Fe II)*""","=""""",,"=""54904.241""","=""99635.420""","=""3d6.(3F1).4s""","=""d 2F""","=""7/2""","=""3d5.(4G).4s.4p.(3P*)""","=""2G*""","=""7/2""",,"=""""","=""L18349c148""",
"=""223.488419""","=""0.000013""","=""223.488428""","=""0.000009""","=""5000bl(Fe II)*""","=""4.7e+07""",D+,"=""62065.528""","=""106796.679""","=""3d6.(3F2).4p""","=""y 4F*""","=""7/2""","=""3d6.(5D).5d""","=""4P""","=""5/2""",,"=""T6892c83""","=""L18349c148""",
"=""223.53885""","=""0.00014""","=""223.538937""","=""0.000011""","=""300""","=""1.7e+06""",D,"=""62125.604""","=""106846.649""","=""3d6.(3P2).4p""","=""z 2D*""","=""3/2""","=""3d6.(5D).5d""","=""4F""","=""3/2""",,"=""T6892c83""","=""L18349c139""",
"=""223.5405""","=""0.0005""","=""223.540801""","=""0.000010""","=""280d?""","=""""",,"=""60402.333""","=""105123.005""","=""3d6.(3P2).4p""","=""y 4P*""","=""5/2""","=""3d6.(3H).4d""","=""2G""","=""7/2""",,"=""""","=""L18349c143""",
"=""223.55252""","=""0.00018""","=""223.552325""","=""0.000010""","=""2100""","=""2.7e+06""",D,"=""25805.3270""","=""70523.694""","=""3d6.(3G).4s""","=""a 4G""","=""9/2""","=""3d6.(3G).4p""","=""x 2G*""","=""7/2""",,"=""T6892c83""","=""L18349c139""",
"=""223.55788""","=""0.00010""","=""223.557945""","=""0.000010""","=""600""","=""4.9e+06""",D+,"=""60807.239""","=""105524.482""","=""3d6.(3H).4p""","=""z 4G*""","=""9/2""","=""3d6.(3F2).4d""","=""4H""","=""9/2""",,"=""T6892c83""","=""L18349c139""",
"=""223.568072""","=""0.000011""","=""223.568080""","=""0.000010""","=""7000""","=""7.2e+07""",D+,"=""62151.554""","=""106866.770""","=""3d6.(3F2).4p""","=""y 4F*""","=""5/2""","=""3d6.(3F2).4d""","=""4F""","=""5/2""",,"=""T6892c83""","=""L18349c139""",
"=""223.635705""","=""0.000015""","=""223.635694""","=""0.000009""","=""4000""","=""2.2e+07""",D+,"=""62065.528""","=""106767.226""","=""3d6.(3F2).4p""","=""y 4F*""","=""7/2""","=""3d6.(3F2).4d""","=""4F""","=""7/2""",,"=""T6892c83""","=""L18349c139""",
"=""223.66873""","=""0.00002""","=""223.668638""","=""0.000009""","=""2100bl(Fe II)*""","=""""",,"=""384.7872""","=""45079.9019""","=""3d6.(5D).4s""","=""a 6D""","=""7/2""","=""3d6.(5D).4p""","=""z 4F*""","=""5/2""",,"=""""","=""L18349c148""",
"=""223.66873""","=""0.00002""","=""223.668736""","=""0.000010""","=""2100bl(Fe II)*""","=""3.3e+07""",D+,"=""62151.554""","=""106846.649""","=""3d6.(3F2).4p""","=""y 4F*""","=""5/2""","=""3d6.(5D).5d""","=""4F""","=""3/2""",,"=""T6892c83""","=""L18349c148""",
"=""223.744346""","=""0.000011""","=""223.744349""","=""0.000011""","=""8000""","=""3.0e+07""",E,"=""61974.931""","=""106654.923""","=""3d5.(6S).4s.4p.(3P*)""","=""y 6P*""","=""3/2""","=""3d5.4s.(7S).4d""","=""6D""","=""5/2""",,"=""T6892c83""","=""L18349c139""",
"=""223.756755""","=""0.000015""","=""223.756757""","=""0.000009""","=""27000""","=""8.1e+07""",C+,"=""38458.9934""","=""83136.508""","=""3d6.(5D).4p""","=""z 6D*""","=""9/2""","=""3d6.(5D).4d""","=""e 6F""","=""7/2""",,"=""T6892c83""","=""L18349c139""",
"=""223.7817""","=""0.0005""","=""223.780750""","=""0.000015""","=""600""","=""""",,"=""18886.773""","=""63559.498""","=""3d7""","=""a 2P""","=""1/2""","=""3d6.(3F2).4p""","=""x 4D*""","=""1/2""",,"=""""","=""L18349c142""",
"=""223.7827""","=""0.0005""","=""223.782758""","=""0.000011""","=""1700bl(Fe I)""","=""""",,"=""16369.4098""","=""61041.734""","=""3d7""","=""a 2G""","=""7/2""","=""3d6.(3H).4p""","=""z 4G*""","=""5/2""",,"=""""","=""L18349c143""",
"=""223.78981""","=""0.00005""","=""223.789845""","=""0.000015""","=""10000""","=""2.9e+07""",D+,"=""33466.4943""","=""78137.404""","=""3d6.(1G2).4s""","=""c 2G""","=""9/2""","=""3d6.(1D2).4p""","=""v 2F*""","=""7/2""",,"=""T6892c83""","=""L18349c139""",
"=""223.8175""","=""0.0005""","=""223.817359""","=""0.000010""","=""1400""","=""""",,"=""21711.8963""","=""66377.315""","=""3d6.(3H).4s""","=""a 4H""","=""7/2""","=""3d6.(3G).4p""","=""x 4F*""","=""7/2""",,"=""""","=""L18349c142""",
"=""223.82148""","=""0.00007""","=""223.821633""","=""0.000015""","=""500""","=""""",,"=""62171.624""","=""106836.190""","=""3d5.(6S).4s.4p.(3P*)""","=""y 6P*""","=""7/2""","=""3d5.(6S).4p2""","=""8P""","=""7/2""",,"=""""","=""L18349c139""",
"=""223.827313""","=""0.000012""","=""223.827336""","=""0.000009""","=""7000""","=""1.37e+08""",B+,"=""60625.446""","=""105288.874""","=""3d6.(3H).4p""","=""z 4G*""","=""11/2""","=""3d6.(3F2).4d""","=""4H""","=""13/2""",,"=""T6892c83""","=""L18349c139""",
"=""223.834442""","=""0.000020""","=""223.834438""","=""0.000015""","=""2700""","=""8.e+07""",E,"=""61974.931""","=""106636.942""","=""3d5.(6S).4s.4p.(3P*)""","=""y 6P*""","=""3/2""","=""3d5.4s.(7S).4d""","=""6D""","=""1/2""",,"=""T6892c83""","=""L18349c139""",
"=""223.856769""","=""0.000015""","=""223.856770""","=""0.000011""","=""4000""","=""6.e+07""",E,"=""61974.931""","=""106632.487""","=""3d5.(6S).4s.4p.(3P*)""","=""y 6P*""","=""3/2""","=""3d5.4s.(7S).4d""","=""6D""","=""3/2""",,"=""T6892c83""","=""L18349c139""",
